file_name,source_path,athlete_id,technique,condition,trial,sampling_rate_hz,units_position,units_angle,units_force,units_moment,units_power,number_of_points,number_of_frames,duration_s,number_of_derived_variables,subject_ids,subject_prefixes,tarcza_marker_count,analog_used,signal_avail_RFIN,signal_avail_RTOE,signal_avail_LTOE,signal_avail_RANK,signal_avail_LANK,signal_avail_RHEE,signal_avail_LHEE
2017-01-31-B0367-S04-E02-T02.c3d,atletas\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E02-T02.c3d,B0367,S04,E02,T02,200.0,mm,deg,N,Nmm,W,224,1761,8.805,101,Tarcza|B0367,Tarcza|B0367,6,0,True,True,True,True,True,True,True
2017-01-31-B0367-S04-E04-T01.c3d,atletas\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,200.0,mm,deg,N,Nmm,W,397,2135,10.675,25,B0367|B0368,B0367|B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0367-S04-E04-T02.c3d,atletas\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E04-T02.c3d,B0367,S04,E04,T02,200.0,mm,deg,N,Nmm,W,397,1710,8.55,25,B0367|B0368,B0367|B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0367-S05-E01-T01.c3d,atletas\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,200.0,mm,deg,N,Nmm,W,218,2334,11.67,101,B0367,B0367,0,0,True,True,True,True,True,True,True
2017-01-31-B0367-S05-E01-T02.c3d,atletas\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E01-T02.c3d,B0367,S05,E01,T02,200.0,mm,deg,N,Nmm,W,218,1912,9.56,101,B0367,B0367,0,0,True,True,True,True,True,True,True
2017-01-31-B0367-S05-E02-T01.c3d,atletas\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,200.0,mm,deg,N,Nmm,W,224,2370,11.85,101,Tarcza|B0367,Tarcza|B0367,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S01-E01-T01.c3d,atletas\B0368\2017-01-31-B0368-S01\2017-01-31-B0368-S01-E01-T01.c3d,B0368,S01,E01,T01,200.0,mm,deg,N,Nmm,W,218,1604,8.02,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S01-E01-T02.c3d,atletas\B0368\2017-01-31-B0368-S01\2017-01-31-B0368-S01-E01-T02.c3d,B0368,S01,E01,T02,200.0,mm,deg,N,Nmm,W,218,1538,7.69,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S01-E01-T03.c3d,atletas\B0368\2017-01-31-B0368-S01\2017-01-31-B0368-S01-E01-T03.c3d,B0368,S01,E01,T03,200.0,mm,deg,N,Nmm,W,218,1357,6.785,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S01-E02-T01.c3d,atletas\B0368\2017-01-31-B0368-S01\2017-01-31-B0368-S01-E02-T01.c3d,B0368,S01,E02,T01,200.0,mm,deg,N,Nmm,W,224,1550,7.75,101,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S01-E02-T02.c3d,atletas\B0368\2017-01-31-B0368-S01\2017-01-31-B0368-S01-E02-T02.c3d,B0368,S01,E02,T02,200.0,mm,deg,N,Nmm,W,224,1466,7.33,101,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S02-E01-T01.c3d,atletas\B0368\2017-01-31-B0368-S02\2017-01-31-B0368-S02-E01-T01.c3d,B0368,S02,E01,T01,200.0,mm,deg,N,Nmm,W,218,1527,7.635,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S02-E01-T02.c3d,atletas\B0368\2017-01-31-B0368-S02\2017-01-31-B0368-S02-E01-T02.c3d,B0368,S02,E01,T02,200.0,mm,deg,N,Nmm,W,218,1508,7.54,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S02-E02-T01.c3d,atletas\B0368\2017-01-31-B0368-S02\2017-01-31-B0368-S02-E02-T01.c3d,B0368,S02,E02,T01,200.0,mm,deg,N,Nmm,W,224,1621,8.105,101,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S02-E02-T02.c3d,atletas\B0368\2017-01-31-B0368-S02\2017-01-31-B0368-S02-E02-T02.c3d,B0368,S02,E02,T02,200.0,mm,deg,N,Nmm,W,197,1590,7.95,74,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S03-E01-T01.c3d,atletas\B0368\2017-01-31-B0368-S03\2017-01-31-B0368-S03-E01-T01.c3d,B0368,S03,E01,T01,200.0,mm,deg,N,Nmm,W,218,1728,8.64,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S03-E01-T02.c3d,atletas\B0368\2017-01-31-B0368-S03\2017-01-31-B0368-S03-E01-T02.c3d,B0368,S03,E01,T02,200.0,mm,deg,N,Nmm,W,218,1705,8.525,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S03-E02-T01.c3d,atletas\B0368\2017-01-31-B0368-S03\2017-01-31-B0368-S03-E02-T01.c3d,B0368,S03,E02,T01,200.0,mm,deg,N,Nmm,W,197,2289,11.445,74,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S03-E02-T02.c3d,atletas\B0368\2017-01-31-B0368-S03\2017-01-31-B0368-S03-E02-T02.c3d,B0368,S03,E02,T02,200.0,mm,deg,N,Nmm,W,197,1552,7.76,74,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S04-E01-T01.c3d,atletas\B0368\2017-01-31-B0368-S04\2017-01-31-B0368-S04-E01-T01.c3d,B0368,S04,E01,T01,200.0,mm,deg,N,Nmm,W,218,1807,9.035,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S04-E01-T02.c3d,atletas\B0368\2017-01-31-B0368-S04\2017-01-31-B0368-S04-E01-T02.c3d,B0368,S04,E01,T02,200.0,mm,deg,N,Nmm,W,218,1619,8.095,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S04-E02-T01.c3d,atletas\B0368\2017-01-31-B0368-S04\2017-01-31-B0368-S04-E02-T01.c3d,B0368,S04,E02,T01,200.0,mm,deg,N,Nmm,W,197,1783,8.915,74,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S04-E02-T02.c3d,atletas\B0368\2017-01-31-B0368-S04\2017-01-31-B0368-S04-E02-T02.c3d,B0368,S04,E02,T02,200.0,mm,deg,N,Nmm,W,197,1632,8.16,74,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S05-E01-T01.c3d,atletas\B0368\2017-01-31-B0368-S05\2017-01-31-B0368-S05-E01-T01.c3d,B0368,S05,E01,T01,200.0,mm,deg,N,Nmm,W,218,2272,11.36,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S05-E01-T02.c3d,atletas\B0368\2017-01-31-B0368-S05\2017-01-31-B0368-S05-E01-T02.c3d,B0368,S05,E01,T02,200.0,mm,deg,N,Nmm,W,218,1838,9.19,101,B0368,B0368,0,0,True,True,True,True,True,True,True
2017-01-31-B0368-S05-E02-T01.c3d,atletas\B0368\2017-01-31-B0368-S05\2017-01-31-B0368-S05-E02-T01.c3d,B0368,S05,E02,T01,200.0,mm,deg,N,Nmm,W,197,2223,11.115,74,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0368-S05-E02-T02.c3d,atletas\B0368\2017-01-31-B0368-S05\2017-01-31-B0368-S05-E02-T02.c3d,B0368,S05,E02,T02,200.0,mm,deg,N,Nmm,W,197,2229,11.145,74,Tarcza|B0368,Tarcza|B0368,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E01-T01.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E01-T01.c3d,B0369,S01,E01,T01,200.0,mm,deg,N,Nmm,W,191,1884,9.42,74,B0369,B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E01-T02.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E01-T02.c3d,B0369,S01,E01,T02,200.0,mm,deg,N,Nmm,W,191,1791,8.955,74,B0369,B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E02-T01.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E02-T01.c3d,B0369,S01,E02,T01,200.0,mm,deg,N,Nmm,W,197,1632,8.16,74,Tarcza|B0369,Tarcza|B0369,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E02-T02.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E02-T02.c3d,B0369,S01,E02,T02,200.0,mm,deg,N,Nmm,W,197,1512,7.56,74,Tarcza|B0369,Tarcza|B0369,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E04-T01.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E04-T01.c3d,B0369,S01,E04,T01,200.0,mm,deg,N,Nmm,W,382,1608,8.04,25,B0370|B0369,B0370|B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E04-T02.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E04-T02.c3d,B0369,S01,E04,T02,200.0,mm,deg,N,Nmm,W,382,2043,10.215,25,B0370|B0369,B0370|B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E01-T01.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E01-T01.c3d,B0369,S02,E01,T01,200.0,mm,deg,N,Nmm,W,191,1715,8.575,74,B0369,B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E01-T02.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E01-T02.c3d,B0369,S02,E01,T02,200.0,mm,deg,N,Nmm,W,191,1677,8.385,74,B0369,B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E02-T01.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E02-T01.c3d,B0369,S02,E02,T01,200.0,mm,deg,N,Nmm,W,197,1879,9.395,74,Tarcza|B0369,Tarcza|B0369,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E02-T02.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E02-T02.c3d,B0369,S02,E02,T02,200.0,mm,deg,N,Nmm,W,197,1936,9.68,74,Tarcza|B0369,Tarcza|B0369,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E04-T01.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E04-T01.c3d,B0369,S02,E04,T01,200.0,mm,deg,N,Nmm,W,382,1986,9.93,25,B0370|B0369,B0370|B0369,0,0,True,True,True,True,True,True,True
