athlete_id,filename,technique,condition,trial,source_path,n_points,n_frames,rate_hz,units_pos,units_angle,units_force,units_moment,units_power,analog_used,n_anatomical,n_derived,n_tarcza,n_prefixed,subjects,prefixes
B0367,2017-01-31-B0367-S04-E01-T01.c3d,S04,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E01-T01.c3d,218,1781,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
B0367,2017-01-31-B0367-S04-E01-T02.c3d,S04,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E01-T02.c3d,218,1669,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
B0367,2017-01-31-B0367-S04-E02-T01.c3d,S04,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E02-T01.c3d,224,1891,200.0,mm,deg,N,Nmm,W,0,0,101,6,224,"['Tarcza', 'B0367']","['Tarcza', 'B0367']"
B0367,2017-01-31-B0367-S04-E02-T02.c3d,S04,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E02-T02.c3d,224,1761,200.0,mm,deg,N,Nmm,W,0,0,101,6,224,"['Tarcza', 'B0367']","['Tarcza', 'B0367']"
B0367,2017-01-31-B0367-S04-E04-T01.c3d,S04,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E04-T01.c3d,397,2135,200.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0367', 'B0368']","['B0367', 'B0368']"
B0367,2017-01-31-B0367-S04-E04-T02.c3d,S04,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E04-T02.c3d,397,1710,200.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0367', 'B0368']","['B0367', 'B0368']"
B0367,2017-01-31-B0367-S05-E01-T01.c3d,S05,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E01-T01.c3d,218,2334,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
B0367,2017-01-31-B0367-S05-E01-T02.c3d,S05,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E01-T02.c3d,218,1912,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
B0367,2017-01-31-B0367-S05-E02-T01.c3d,S05,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E02-T01.c3d,224,2370,200.0,mm,deg,N,Nmm,W,0,0,101,6,224,"['Tarcza', 'B0367']","['Tarcza', 'B0367']"
B0377,2017-02-20-B0377-S01-E01-T01.c3d,S01,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S01\2017-02-20-B0377-S01-E01-T01.c3d,191,1835,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S01-E01-T02.c3d,S01,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S01\2017-02-20-B0377-S01-E01-T02.c3d,191,1809,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S01-E02-T01.c3d,S01,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S01\2017-02-20-B0377-S01-E02-T01.c3d,195,1941,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S01-E02-T02.c3d,S01,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S01\2017-02-20-B0377-S01-E02-T02.c3d,195,2029,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S01-E03-T01.c3d,S01,E03,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S01\2017-02-20-B0377-S01-E03-T01.c3d,382,2380,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S01-E03-T02.c3d,S01,E03,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S01\2017-02-20-B0377-S01-E03-T02.c3d,382,2132,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S01-E04-T01.c3d,S01,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S01\2017-02-20-B0377-S01-E04-T01.c3d,382,2304,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
B0377,2017-02-20-B0377-S01-E04-T02.c3d,S01,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S01\2017-02-20-B0377-S01-E04-T02.c3d,382,1857,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
B0377,2017-02-20-B0377-S02-E01-T01.c3d,S02,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S02\2017-02-20-B0377-S02-E01-T01.c3d,191,1920,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S02-E01-T02.c3d,S02,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S02\2017-02-20-B0377-S02-E01-T02.c3d,191,1812,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S02-E02-T01.c3d,S02,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S02\2017-02-20-B0377-S02-E02-T01.c3d,195,1896,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S02-E02-T02.c3d,S02,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S02\2017-02-20-B0377-S02-E02-T02.c3d,195,1585,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S02-E03-T01.c3d,S02,E03,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S02\2017-02-20-B0377-S02-E03-T01.c3d,382,2308,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S02-E03-T02.c3d,S02,E03,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S02\2017-02-20-B0377-S02-E03-T02.c3d,382,1872,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S02-E04-T01.c3d,S02,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S02\2017-02-20-B0377-S02-E04-T01.c3d,382,1876,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
B0377,2017-02-20-B0377-S03-E01-T01.c3d,S03,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S03\2017-02-20-B0377-S03-E01-T01.c3d,191,1805,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S03-E01-T02.c3d,S03,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S03\2017-02-20-B0377-S03-E01-T02.c3d,191,1869,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S03-E02-T01.c3d,S03,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S03\2017-02-20-B0377-S03-E02-T01.c3d,195,1846,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S03-E02-T02.c3d,S03,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S03\2017-02-20-B0377-S03-E02-T02.c3d,195,1643,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
