condition,trial,subject,role,file,n_frames,duration_s,vmax_mm_s,vmean_mm_s,amax_mm_s2,displacement_mm,path_length_mm,rom_mm,time_to_vmax_s,t_onset,t_stall,t_peak,t_offset,dur_prep_s,dur_exec_s,dur_final_s,com_vmax,com_rom
E01,T01,B0367,atacante,2017-01-31-B0367-S04-E01-T01.c3d,1781,8.905,9924.464492627681,1767.5942456871187,201279.58078122733,89.8370016774323,15749.383821782052,2138.850368722692,3.77,1.66,3.51,3.77,6.415,1.8499999999999999,0.26000000000000023,2.645,994.4080977298077,677.9907138795274
E01,T02,B0367,atacante,2017-01-31-B0367-S04-E01-T02.c3d,1669,8.345,9093.186809835728,1818.2171522759634,159839.2872181806,52.388001254210444,15180.640922912777,2113.692504533529,5.205,1.345,4.935,5.205,6.02,3.59,0.27000000000000046,0.8149999999999995,731.9614258160848,553.6563956176994
E02,T01,B0367,atacante,2017-01-31-B0367-S04-E02-T01.c3d,1891,9.455,16762.04322162178,1744.1521049205048,493071.276990361,95.54128576187443,16501.09724779745,2297.3004942725993,6.125,1.525,5.845,6.125,6.735,4.32,0.28000000000000025,0.6100000000000003,1427.5365610780646,780.2243558960838
E02,T02,B0367,atacante,2017-01-31-B0367-S04-E02-T02.c3d,1761,8.805,17107.02982321767,1802.955388088867,514137.7318961777,100.22161993701489,15885.654465387866,2235.4835019508323,5.565,1.79,5.3,5.565,6.155,3.51,0.26500000000000057,0.5899999999999999,1243.7073687282618,722.936961271005
E04,T01,B0367,defensor,2017-01-31-B0367-S04-E04-T01.c3d,2135,10.675,1211.3793644920786,74.47902145333326,18734.471497007096,16.282810828814096,795.5205540966473,107.53531751279988,6.125,3.69,6.015,6.125,9.845,2.3249999999999997,0.11000000000000032,3.7200000000000006,,
E04,T01,B0368,oponente (atacante),2017-01-31-B0367-S04-E04-T01.c3d,2135,10.675,11908.155156291636,1375.3743670419526,172861.40332855302,139.61681936874118,14688.188763134523,1749.3812027748406,7.115,2.905,6.9,7.11,9.005,3.9950000000000006,0.20999999999999996,1.8950000000000005,,
E04,T02,B0367,defensor,2017-01-31-B0367-S04-E04-T02.c3d,1710,8.55,1821.368881375697,155.80441609946615,27774.868941251203,59.721033014199925,1333.0123183663497,173.8719137496036,4.17,0.84,4.07,4.17,5.95,3.2300000000000004,0.09999999999999964,1.7800000000000002,,
E04,T02,B0368,oponente (atacante),2017-01-31-B0367-S04-E04-T02.c3d,1710,8.55,11640.09230996804,1736.7495190302109,135243.4151183691,67.81968122102614,14854.917232878357,1684.6463205515174,1.985,1.01,1.775,1.985,6.98,0.7649999999999999,0.2100000000000002,4.995,,
