file,frames,rate,duration_s,n_points,n_anatomical,n_cluster,n_shield,n_derived,analog,units,subjects,nan_pct
2017-01-31-B0367-S01-E01-T01.c3d,1815,200.0,9.075,218,39,76,0,103,0,mm,B0367,0.19410114489347183
2017-01-31-B0367-S02-E01-T01.c3d,1751,200.0,8.755,218,39,76,0,103,0,mm,B0367,0.20119564704834456
2017-01-31-B0367-S04-E01-T01.c3d,1781,200.0,8.905,218,39,76,0,103,0,mm,B0367,0.19780661312838368
2017-01-31-B0367-S04-E02-T01.c3d,1891,200.0,9.455,224,39,76,6,103,0,mm,Tarcza|B0367,0.1813099644934653
2017-01-31-B0367-S04-E04-T01.c3d,2135,200.0,10.675,397,78,152,0,25,0,mm,B0367|B0368,0.1812186244609749
2017-01-31-B0367-S05-E01-T01.c3d,2334,200.0,11.67,218,39,76,0,103,0,mm,B0367,0.150939836324615
