file,athlete,technique,condition,trial,rate,signal_marker,signal_snr,n_rep_detected,n_events,n_accepted,n_frames,duration_s
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,250.0,RFIN,14.2,1,10,1,1835,7.34
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,E01,T01,250.0,RTOE,250.3,3,3,3,1920,7.68
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,250.0,RTOE,140.5,3,6,3,1805,7.22
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,250.0,LTOE,168.8,3,7,3,1916,7.664
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,250.0,RTOE,302.0,3,9,3,2636,10.544
